seller_state,seller_id,seller_rnk,volume_rnk,avg_review_score,composite_score
GO,b410bdd36d5db7a65dcd42b7ead933b8,449,147,4.66,225.1
GO,b410bdd36d5db7a65dcd42b7ead933b8,449,147,4.66,225.1
GO,70125af26c2d6d4ef401a1d02ae7701f,449,147,4.63,225.09
