seller_id,product_category_name_english,avg_score,count_of_reviews
376a891762bbdecbc02b4b6adec3fdda,audio,5,2
70c4eedec9cb4a85cda2f3f9673557b4,computers_accessories,5,1
be67f78487e2cecb0d55bc769709e4f5,health_beauty,5,1
5f26c1408a65b42a7224cd463bdf3292,food,5,2
fd312b6bf05efac6c3772d5b52205d8a,health_beauty,5,4
508808d438fe2ff972ed13bb8f4a82e2,baby,5,1
ac3508719a1d8f5b7614b798f70af136,baby,5,1
d9bd94811c3338dceb4181f3dbc0c73e,food,5,2
b2ba3715d723d245138f291a6fe42594,small_appliances,5,1
2199e7fe213c16213bf5d6a7eadc9a5d,garden_tools,5,1
ae9690c6e8fee182c28c9ff8e11ca52c,furniture_decor,5,1
f3511c85f59f8dec53d140501ee8e7a8,health_beauty,5,1
417a1e6c7321084d2a0ae0d023cfad93,housewares,5,1
741f8c587cb4248ebc5b779a0e8e0e51,home_appliances,5,1
4b39558c138930b9e5489c93b6df5fe3,industry_commerce_and_business,5,1
ce3ad9de960102d0677a81f5d0bb7b2d,baby,5,1
2bf6a2c1e71bbd29a4ad64e6d3c3629f,electronics,5,1
f45122a9ab94eb4f3f8953578bc0c560,toys,5,1
89c127985a8b130cfa45c1d36764017a,cool_stuff,5,1
7e3f87d16fb353f408d467e74fbd8014,cool_stuff,5,1
c18309219e789960add0b2255ca4b091,telephony,5,1
3ac588cd562971392504a9e17130c40b,fashion_bags_accessories,5,1
fb8904a8ea99f8831b64ce27db2c1765,sports_leisure,5,1
5f1dc28029d2c244352a68107ec2b542,perfumery,5,8
f25e239052084705e17a982bc600ab2a,luggage_accessories,5,2
c68fb906c8f4b4b946d8386bfa6e5467,home_appliances_2,5,1
12c2ed9cded6138cf0c75f525f565fc7,food,5,1
e06f09ec0a4aca210779cf1cfc63cf19,sports_leisure,5,1
b9c0ffa92f3ff9a5a3d45ef7213c0842,baby,5,2
888faa8bfb0b159c37de6d898b961c31,garden_tools,5,1
8b181ee5518df84f18f4e1a43fe07923,health_beauty,5,1
ef2fbc2b607d8492bcffe657a4645434,costruction_tools_garden,5,2
3504c0cb71d7fa48d967e0e4c94d59d9,toys,5,2
643214e62b870443ccbe55ab29a4dccf,perfumery,5,2
57a834594e1e9e9219603bfec184eadc,pet_shop,5,1
3d68c634a99a1ba46dbca3967a69c623,cool_stuff,5,2
33cbda8716511e27e556dff9d8418bf2,bed_bath_table,5,2
69b5eaa096c3f9d1e5c398c597f567d6,housewares,5,2
3d8fa2f5b647373c8620330c4e077a9f,sports_leisure,5,3
bb7ad8a45c027be8ab075b8e465f8ca0,food,5,2
adbe70ab2c97442046d393988c8d1d27,garden_tools,5,4
edd066cd02126d7800f9b66e980e9931,housewares,5,6
72146da5774cabf2632faedcae097a76,health_beauty,5,1
398cb257329ef7af7f1943a8974a3cbc,drinks,5,1
5cbbd5a299cab112b7bf23862255e43e,computers_accessories,5,1
5cf13accae3222c70a9cac40818ae839,small_appliances,5,1
63a79f5a7eb5cb48a7e5787b141c7993,baby,5,1
c847e075301870dd144a116762eaff9a,garden_tools,5,1
1710c3aaa9c6b44ec3883ee0fe300e21,watches_gifts,5,1
a1bea7061f61f6fdd9a85a6325ba1033,computers_accessories,5,1
e4f121bf6ef8b9a1d4d3e65dd0473fab,party_supplies,5,1
ba89796db68db180bd389de96b2ff3b6,cine_photo,5,1
edb58a1390adf273840030a3d6253829,home_appliances,5,1
94b9108d4b637ba65bb4f1e53cfcf8d8,electronics,5,5
1d503743d2526f03f0c2c89540ee008c,telephony,5,1
8f78f0903005064036736c7173a5c2ed,kitchen_dining_laundry_garden_furniture,5,1
fa14641f57b655e933124a9ea49cd7a5,computers_accessories,5,3
6b803197e03abd5056b4313306b4f29d,food,5,9
4e480be820e37de1444325ff358c9296,auto,5,2
455c5640e8c5bd1b2ee85c0158f85727,toys,5,1
a2b911e9ad40dc7d61c142a4683e2d85,sports_leisure,5,1
82bd0703a4aefd6b599e5bfdaed378fb,market_place,5,1
ce7d1888639e6fb06b2749cbfdac1ff7,baby,5,1
56e361f411e38dcef17cdc2a3d99628b,signaling_and_security,5,6
fb503a924a0b9db19d83dd0ac6dbef8c,health_beauty,5,1
fd386aa7bed2af3c7035c65506c9b4a3,music,5,1
70eea00b476a314817cefde4aad4f89a,cool_stuff,5,1
86ff3eaef0267069cc891a2ed9d10a17,sports_leisure,5,6
b76f4d90e85657a240495c876313adc5,toys,5,1
b64d51f0435e884e8de603b1655155ae,signaling_and_security,5,1
8b9d6eec4a7eb7d0f9d579ce0b38324d,kitchen_dining_laundry_garden_furniture,5,1
eb5b6204dde3a6e03b5f1bb8479f055b,computers_accessories,5,2
0ea22c1cfbdc755f86b9b54b39c16043,baby,5,1
6b333a05bf188ef3e1f1662a86bd9855,auto,5,3
dbb9b48c841a0e39e21f98e1a6b2ec3e,audio,5,1
d71d863e5ef30d94e440c11be17dcd8f,cool_stuff,5,3
a45314082d50d578a4721c9787ce09ab,toys,5,1
085f6f7e049c996695fb2074fe38d45e,auto,5,1
55d3daac7c404d59e51c2aa2f4dc5a23,housewares,5,1
e882b2a25a10b9c057cc49695f222c19,costruction_tools_garden,5,2
204b4e07bddef3c9b317f70189135b22,bed_bath_table,5,1
8d46553a36e68f95350a200c12f8f2e2,construction_tools_construction,5,1
3b15288545f8928d3e65a8f949a28291,costruction_tools_garden,5,1
ef2fbc2b607d8492bcffe657a4645434,health_beauty,5,2
9b1f656ca3060f8af17a50d8a024b533,auto,5,1
fedf2c1386e137f296b3bbf3b635e69d,construction_tools_lights,5,2
39a5005f2605cbdb4f9ac14485cabfd1,auto,5,8
ca77545ca4d2dfd1431bf61334e2fa3c,health_beauty,5,1
1caf283236cd69af44cbc09a0a1e7d32,arts_and_craftmanship,5,1
293dee954235e4e4e43f129313625ebe,stationery,5,5
5d76d80a2f5f39c891b996a1bf4c9853,electronics,5,2
0bae85eb84b9fb3bd773911e89288d54,audio,5,2
b2ba3715d723d245138f291a6fe42594,costruction_tools_tools,5,1
a1040efe9ff4a6f93c28b0499eada8f5,construction_tools_safety,5,1
59cea8e446d3834393058e7e0666b6fb,auto,5,1
1b1ae47a313a825a7ccceb8e2e30fa9d,kitchen_dining_laundry_garden_furniture,5,1
56f413900b5166ab4d730e9ac0b12cb0,sports_leisure,5,2
7139dc5186aa238b006e066d8fbab2e4,costruction_tools_tools,5,4
78813699ffac347fe27dba345a5f1551,drinks,5,1
90b57083da5d803237da74daec6dcb2b,sports_leisure,5,1
265fdc289dffa9f1ad801c74f7d0de47,furniture_bedroom,5,1
d6cd01c59123df02fc226eadbadb5f89,electronics,5,1
7681ef142fd2c19048da7430856b5588,construction_tools_lights,5,1
48efc9d94a9834137efd9ea76b065a38,furniture_bedroom,5,8
83e197e95a1bbabc8c75e883ed016c47,musical_instruments,5,4
8b321bb669392f5163d04c59e235e066,sports_leisure,5,1
9596c870880d900012f2e8e6e30d06d7,housewares,5,1
d12c926d74ceff0a90a21184466ce161,housewares,5,1
6bd503a8230299c9316fb0f726933927,health_beauty,5,2
7354220fb240bde543b3c40c060d41e7,luggage_accessories,5,1
00ab3eff1b5192e5f1a63bcecfee11c8,health_beauty,5,1
1746c1ae87ac63d530c7c943d0ac42e2,auto,5,1
a3a38f4affed601eb87a97788c949667,health_beauty,5,2
3078096983cf766a32a06257648502d1,small_appliances,5,1
a69aa24cec11168e7e39a3fbc727e925,health_beauty,5,3
15aac934c58d886785ac1b17953ea898,garden_tools,5,1
