Month,State,Average_order_Value_by_State_n_Month
2017-08-01 00:00:00 UTC,AP,232.8
2017-04-01 00:00:00 UTC,CE,232.8
2017-12-01 00:00:00 UTC,SE,232.6
2017-02-01 00:00:00 UTC,PB,232.2
2017-07-01 00:00:00 UTC,MS,231.6
2017-08-01 00:00:00 UTC,PB,231.1
2018-05-01 00:00:00 UTC,AM,230.9
2018-06-01 00:00:00 UTC,PA,229.9
2016-11-01 00:00:00 UTC,RN,228.8
2017-11-01 00:00:00 UTC,MA,226.9
2017-07-01 00:00:00 UTC,PA,225.8
2018-06-01 00:00:00 UTC,MT,225.7
2017-03-01 00:00:00 UTC,AC,225.5
2018-06-01 00:00:00 UTC,MS,225.3
2018-08-01 00:00:00 UTC,ES,223.6
2016-10-01 00:00:00 UTC,RJ,223.5
2017-05-01 00:00:00 UTC,RN,222.4
2018-07-01 00:00:00 UTC,RN,222.4
2018-06-01 00:00:00 UTC,RN,222.2
2018-05-01 00:00:00 UTC,PA,221.5
2018-01-01 00:00:00 UTC,SE,221.3
2017-12-01 00:00:00 UTC,PB,221.2
2017-07-01 00:00:00 UTC,AP,220.7
2017-09-01 00:00:00 UTC,CE,219.3
2017-07-01 00:00:00 UTC,PB,219.3
2018-07-01 00:00:00 UTC,MT,219
2018-02-01 00:00:00 UTC,AP,217.7
2018-07-01 00:00:00 UTC,PI,217.7
2018-02-01 00:00:00 UTC,PB,217.6
2017-10-01 00:00:00 UTC,CE,216.6
2018-05-01 00:00:00 UTC,RN,215.4
2018-02-01 00:00:00 UTC,PA,215.2
2017-11-01 00:00:00 UTC,MT,215.1
2018-03-01 00:00:00 UTC,AM,215.1
2018-08-01 00:00:00 UTC,SE,214.8
2018-01-01 00:00:00 UTC,AL,214.6
2017-12-01 00:00:00 UTC,AC,214.4
2018-07-01 00:00:00 UTC,ES,214
2017-05-01 00:00:00 UTC,BA,213.8
2017-06-01 00:00:00 UTC,TO,213.4
2018-01-01 00:00:00 UTC,PA,213.1
2017-04-01 00:00:00 UTC,MS,211.9
2018-04-01 00:00:00 UTC,CE,211.8
2017-12-01 00:00:00 UTC,MT,211.7
2018-06-01 00:00:00 UTC,RO,211.5
2018-09-01 00:00:00 UTC,SP,211
2017-02-01 00:00:00 UTC,GO,209.5
2017-05-01 00:00:00 UTC,TO,209
2018-08-01 00:00:00 UTC,CE,208.8
2018-07-01 00:00:00 UTC,PA,208.5
2018-04-01 00:00:00 UTC,SE,208.2
2017-11-01 00:00:00 UTC,RN,207.3
2016-11-01 00:00:00 UTC,PA,206.4
2017-02-01 00:00:00 UTC,RO,205
2018-05-01 00:00:00 UTC,MS,204.4
2018-02-01 00:00:00 UTC,AL,204.1
2017-06-01 00:00:00 UTC,MT,203.9
2018-07-01 00:00:00 UTC,RO,203.8
2018-01-01 00:00:00 UTC,PB,203.8
2017-10-01 00:00:00 UTC,PE,203.6
2017-09-01 00:00:00 UTC,MT,203.1
2018-05-01 00:00:00 UTC,SC,202.9
2017-03-01 00:00:00 UTC,DF,202.6
2018-07-01 00:00:00 UTC,SE,202.2
2017-06-01 00:00:00 UTC,AL,201.9
2017-03-01 00:00:00 UTC,AM,201.3
2018-06-01 00:00:00 UTC,BA,200.5
2018-07-01 00:00:00 UTC,PE,200.4
2018-08-01 00:00:00 UTC,PE,200.2
2018-07-01 00:00:00 UTC,GO,200
2017-01-01 00:00:00 UTC,BA,199.3
2018-04-01 00:00:00 UTC,AM,198.9
2018-02-01 00:00:00 UTC,SE,198.8
2017-05-01 00:00:00 UTC,DF,198.3
2018-08-01 00:00:00 UTC,PI,198.1
2017-11-01 00:00:00 UTC,AL,197.6
2018-02-01 00:00:00 UTC,MS,197.6
2017-10-01 00:00:00 UTC,SE,197.2
2017-10-01 00:00:00 UTC,GO,196.7
2017-09-01 00:00:00 UTC,RN,196.1
2017-01-01 00:00:00 UTC,PE,195.4
2017-09-01 00:00:00 UTC,AP,195
2016-10-01 00:00:00 UTC,RN,194.8
